Point_X,Point_Y,Tree_Name,Tree_Id,Genus,Species,Common_Name,Diameter,Tree__Height,ZONE_GEN,PageName,Status
-78.92058581,35.99676191,P19-QUPH-005,2249910,Quercus,phellos,Willow oak,56,60-80,RES_HIGH_DENSITY,P19,done
-78.90927896,36.0033922,P20-QULY-001,2305784,Quercus,lyrata,Overcup oak,6,0-20,RES_MEDIUM_DENSITY,P20,unkown
-78.90925616,36.00441853,P20-QULY-002,2305797,Quercus,lyrata,Overcup oak,5,0-20,RES_MEDIUM_DENSITY,P20,unkown
-78.90897453,36.00349472,P20-QUBI-001,2885580,Quercus,bicolor,Swamp white oak,0.5,0-20,RES_MEDIUM_DENSITY,P20,unkown
-78.91124433,36.00357738,P20-QUPH-001,2249358,Quercus,phellos,Willow oak,48,60-80,RES_MEDIUM_DENSITY,P20,unkown
-78.91138785,36.00338704,P20-QUPH-002,2249811,Quercus,phellos,Willow oak,49,80+,RES_MEDIUM_DENSITY,P20,unkown
-78.90882567,36.00452594,P20-QUPH-003,2249997,Quercus,phellos,Willow oak,38,60-80,RES_MEDIUM_DENSITY,P20,unkown
-78.91233701,36.00456418,P20-QUPH-004,2305642,Quercus,phellos,Willow oak,11,20-40,RES_MEDIUM_DENSITY,P20,unkown
-78.93269062,35.99316281,Q18-QUBI-001,2853266,Quercus,bicolor,Swamp white oak,2,0-20,RES_LOW_DENSITY,Q18,phys
-78.9325303,35.99364543,Q18-QUBI-002,2853270,Quercus,bicolor,Swamp white oak,2,0-20,RES_LOW_DENSITY,Q18,replaced
-78.93243575,35.99386537,Q18-QUPH-001,2252316,Quercus,phellos,Willow oak,35,80+,RES_LOW_DENSITY,Q18,done
-78.9319329,35.99471282,Q18-QUPH-002,2252323,Quercus,phellos,Willow oak,33,80+,RES_LOW_DENSITY,Q18,done
-78.87660301,35.99187936,Q23-QULY-001,2640145,Quercus,lyrata,Overcup oak,2,0-20,RES_HIGH_DENSITY,Q23,phys
-78.87635753,35.99000628,Q23-QULY-002,2640151,Quercus,lyrata,Overcup oak,2,0-20,RES_HIGH_DENSITY,Q23,phys
-78.91462833,35.9808003,R19-QULY-001,2270684,Quercus,lyrata,Overcup oak,5,0-20,RES_LOW_DENSITY,R19,done
-78.91852075,35.98009037,R19-QULY-002,2270695,Quercus,lyrata,Overcup oak,4,0-20,RES_LOW_DENSITY,R19,phys
-78.91676232,35.97944416,R19-QULY-003,2270702,Quercus,lyrata,Overcup oak,3,0-20,RES_LOW_DENSITY,R19,replaced
-78.91723439,35.9870265,R19-QULY-004,2997698,Quercus,lyrata,Overcup oak,1,0-20,RES_MEDIUM_DENSITY,R19,phys
-78.91813111,35.98655612,R19-QULY-005,2997701,Quercus,lyrata,Overcup oak,1,0-20,RES_MEDIUM_DENSITY,R19,phys
-78.91827197,35.98649088,R19-QULY-006,2997702,Quercus,lyrata,Overcup oak,1,0-20,RES_MEDIUM_DENSITY,R19,phys
-78.9161548,35.98012787,R19-QUBI-001,2270452,Quercus,bicolor,Swamp white oak,5,0-20,RES_LOW_DENSITY,R19,phys
-78.91625136,35.98167217,R19-QUBI-002,2270688,Quercus,bicolor,Swamp white oak,6,0-20,RES_LOW_DENSITY,R19,phys
-78.91669035,35.98247541,R19-QUBI-003,2270692,Quercus,bicolor,Swamp white oak,5,0-20,RES_LOW_DENSITY,R19,phys
-78.91623795,35.9795592,R19-QUBI-004,2942173,Quercus,bicolor,Swamp white oak,1,0-20,RES_LOW_DENSITY,R19,phys
-78.91584367,35.98001718,R19-QUPH-001,2269122,Quercus,phellos,Willow oak,13,20-40,RES_LOW_DENSITY,R19,done
-78.91795591,35.98330976,R19-QUPH-002,2269239,Quercus,phellos,Willow oak,36,80+,RES_LOW_DENSITY,R19,done
-78.91870189,35.97996074,R19-QUPH-003,2269280,Quercus,phellos,Willow oak,17,40-60,RES_LOW_DENSITY,R19,done
-78.91873646,35.97987307,R19-QUPH-004,2269281,Quercus,phellos,Willow oak,19,40-60,RES_LOW_DENSITY,R19,done
-78.91462284,35.98206869,R19-QUPH-005,2269383,Quercus,phellos,Willow oak,20,60-80,RES_LOW_DENSITY,R19,done
-78.91409335,35.98391547,R19-QUPH-006,2269893,Quercus,phellos,Willow oak,22,40-60,RES_LOW_DENSITY,R19,done
-78.915075,35.98364666,R19-QUPH-007,2270146,Quercus,phellos,Willow oak,25,60-80,RES_LOW_DENSITY,R19,done
-78.91419411,35.98397716,R19-QUPH-008,2270661,Quercus,phellos,Willow oak,7,20-40,RES_LOW_DENSITY,R19,done
-78.91232225,35.98333268,R20-QULY-001,2891851,Quercus,lyrata,Overcup oak,6,20-40,RES_LOW_DENSITY,R20,phys
-78.91085476,35.9823602,R20-QULY-002,2891895,Quercus,lyrata,Overcup oak,2,0-20,RES_LOW_DENSITY,R20,phys
-78.91006619,35.98195107,R20-QULY-003,2891896,Quercus,lyrata,Overcup oak,2,0-20,RES_LOW_DENSITY,R20,phys
-78.91190445,35.97919181,R20-QUBI-001,2270637,Quercus,bicolor,Swamp white oak,5,0-20,RES_LOW_DENSITY,R20,phys
-78.91157627,35.97932912,R20-QUBI-002,2270639,Quercus,bicolor,Swamp white oak,5,0-20,RES_LOW_DENSITY,R20,phys
-78.91032165,35.98318554,R20-QUBI-003,2973621,Quercus,bicolor,Swamp white oak,1,0-20,RES_LOW_DENSITY,R20,phys
-78.91197524,35.98375967,R20-QUPH-001,2268849,Quercus,phellos,Willow oak,34,20-40,RES_LOW_DENSITY,R20,done
-78.90913546,35.98199665,R20-QUPH-002,2269161,Quercus,phellos,Willow oak,38,80+,RES_LOW_DENSITY,R20,done
-78.9118909,35.98375122,R20-QUPH-003,2891892,Quercus,phellos,Willow oak,9,20-40,RES_LOW_DENSITY,R20,done
-78.91368315,35.98306667,R20-QUPH-004,2937414,Quercus,phellos,Willow oak,41,60-80,RES_LOW_DENSITY,R20,done
-78.90260428,35.9857319,R21-QULY-001,2895219,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,checkphys
-78.90261769,35.98541286,R21-QULY-002,2895222,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,phys
-78.90068248,35.98584476,R21-QULY-003,2910603,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,checkphys
-78.90062693,35.98572188,R21-QULY-004,2910614,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,phys
-78.9009212,35.9854172,R21-QULY-005,2910621,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,phys
-78.90092924,35.98524466,R21-QULY-006,2910624,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,phys
-78.90110761,35.98514048,R21-QULY-007,2910626,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,phys
-78.9007549,35.9860173,R21-QULY-008,2910653,Quercus,lyrata,Overcup oak,3,0-20,RES_HIGH_DENSITY,R21,phys
-78.90146568,35.98645245,R21-QUPH-001,2910661,Quercus,phellos,Willow oak,3,0-20,RES_HIGH_DENSITY,R21,done
-78.88861666,35.9776471,S22-QUPH-001,2911048,Quercus,phellos,Willow oak,19,60-80,RES_MEDIUM_DENSITY,S22,done
-78.89936645,35.9664551,T21-QUBI-001,2975588,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.89958943,35.96646569,T21-QUBI-002,2975591,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.89972356,35.96645887,T21-QUBI-003,2975592,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.90025391,35.96634327,T21-QUBI-004,2975595,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.90072942,35.96625174,T21-QUBI-005,2975598,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.90176083,35.96461683,T21-QUBI-006,2975624,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.90128464,35.965277,T21-QUBI-007,2975627,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.90124703,35.96536012,T21-QUBI-008,2975628,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.9011988,35.96546587,T21-QUBI-009,2975629,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
-78.90115187,35.96555868,T21-QUBI-010,2975632,Quercus,bicolor,Swamp white oak,1,0-20,RES_MEDIUM_DENSITY,T21,phys
